"cancer" "samples" "ntotal"
"BRCA" 1599 12
"BRCA" 1599 50
"BRCA" 1599 52
"BRCA" 1599 48
"BRCA" 1599 2
"BRCA" 1599 41
"BRCA" 1599 30
"BRCA" 1599 14
"BRCA" 1599 56
"BRCA" 1599 14
"BRCA" 1599 42
"BRCA" 1599 22
"BRCA" 1599 12
"BRCA" 1599 15
"BRCA" 1599 18
"BRCA" 1599 136
"BRCA" 1599 26
"BRCA" 1599 13
"BRCA" 1599 43
"BRCA" 1599 65
"BRCA" 1599 51
"BRCA" 1599 27
"BRCA" 1599 125
"BRCA" 1599 45
"BRCA" 1599 12
"BRCA" 1599 48
"BRCA" 1599 51
"BRCA" 1599 43
"BRCA" 1599 153
"BRCA" 1599 30
"BRCA" 1599 41
"BRCA" 1599 48
"BRCA" 1599 98
"BRCA" 1599 40
"BRCA" 1599 29
"BRCA" 1599 97
"BRCA" 1599 21
"BRCA" 1599 69
"BRCA" 1599 48
"BRCA" 1599 21
"BRCA" 1599 191
"BRCA" 1599 29
"BRCA" 1599 19
"BRCA" 1599 76
"BRCA" 1599 109
"BRCA" 1599 37
"BRCA" 1599 29
"BRCA" 1599 26
"BRCA" 1599 96
"BRCA" 1599 18
"BRCA" 1599 137
"BRCA" 1599 69
"BRCA" 1599 25
"BRCA" 1599 31
"BRCA" 1599 25
"BRCA" 1599 29
"BRCA" 1599 108
"BRCA" 1599 36
"BRCA" 1599 65
"BRCA" 1599 41
"BRCA" 1599 141
"BRCA" 1599 52
"BRCA" 1599 71
"BRCA" 1599 44
"BRCA" 1599 26
"BRCA" 1599 79
"BRCA" 1599 132
"BRCA" 1599 74
"BRCA" 1599 26
"BRCA" 1599 97
"BRCA" 1599 62
"BRCA" 1599 121
"BRCA" 1599 19
"BRCA" 1599 55
"BRCA" 1599 61
"BRCA" 1599 92
"BRCA" 1599 46
"BRCA" 1599 18
"BRCA" 1599 81
"BRCA" 1599 23
"BRCA" 1599 34
"BRCA" 1599 29
"BRCA" 1599 33
"BRCA" 1599 31
"BRCA" 1599 68
"BRCA" 1599 54
"BRCA" 1599 15
"BRCA" 1599 16
"BRCA" 1599 19
"BRCA" 1599 16
"BRCA" 1599 65
"BRCA" 1599 53
"BRCA" 1599 57
"BRCA" 1599 55
"BRCA" 1599 78
"BRCA" 1599 36
"BRCA" 1599 51
"BRCA" 1599 62
"BRCA" 1599 97
"BRCA" 1599 28
"BRCA" 1599 80
"BRCA" 1599 49
"BRCA" 1599 51
"BRCA" 1599 31
"BRCA" 1599 41
"BRCA" 1599 37
"BRCA" 1599 40
"BRCA" 1599 37
"BRCA" 1599 91
"BRCA" 1599 47
"BRCA" 1599 110
"BRCA" 1599 77
"BRCA" 1599 340
"BRCA" 1599 95
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 29
"BRCA" 1599 4
"BRCA" 1599 26
"BRCA" 1599 7
"BRCA" 1599 30
"BRCA" 1599 5
"BRCA" 1599 6
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 6
"BRCA" 1599 27
"BRCA" 1599 28
"BRCA" 1599 56
"BRCA" 1599 1
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 2
"BRCA" 1599 42
"BRCA" 1599 14
"BRCA" 1599 3
"BRCA" 1599 9
"BRCA" 1599 8
"BRCA" 1599 15
"BRCA" 1599 46
"BRCA" 1599 1
"BRCA" 1599 43
"BRCA" 1599 6
"BRCA" 1599 45
"BRCA" 1599 27
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 49
"BRCA" 1599 2
"BRCA" 1599 74
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 3
"BRCA" 1599 1
"BRCA" 1599 1
"BRCA" 1599 1
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 29
"BRCA" 1599 47
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 6
"BRCA" 1599 6
"BRCA" 1599 11
"BRCA" 1599 1
"BRCA" 1599 60
"BRCA" 1599 6
"BRCA" 1599 85
"BRCA" 1599 26
"BRCA" 1599 2
"BRCA" 1599 11
"BRCA" 1599 6
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 19
"BRCA" 1599 6
"BRCA" 1599 4
"BRCA" 1599 3
"BRCA" 1599 3
"BRCA" 1599 4
"BRCA" 1599 78
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 5
"BRCA" 1599 7
"BRCA" 1599 9
"BRCA" 1599 6
"BRCA" 1599 42
"BRCA" 1599 2
"BRCA" 1599 8
"BRCA" 1599 11
"BRCA" 1599 45
"BRCA" 1599 8
"BRCA" 1599 1
"BRCA" 1599 5
"BRCA" 1599 3
"BRCA" 1599 23
"BRCA" 1599 8
"BRCA" 1599 1
"BRCA" 1599 9
"BRCA" 1599 7
"BRCA" 1599 2
"BRCA" 1599 9
"BRCA" 1599 4
"BRCA" 1599 8
"BRCA" 1599 8
"BRCA" 1599 29
"BRCA" 1599 9
"BRCA" 1599 34
"BRCA" 1599 9
"BRCA" 1599 2
"BRCA" 1599 2
"BRCA" 1599 4
"BRCA" 1599 4
"BRCA" 1599 5
"BRCA" 1599 2
"BRCA" 1599 78
"BRCA" 1599 8
"BRCA" 1599 6
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 2
"BRCA" 1599 1
"BRCA" 1599 3
"BRCA" 1599 2
"BRCA" 1599 3
"BRCA" 1599 9
"BRCA" 1599 7
"BRCA" 1599 6
"BRCA" 1599 5
"BRCA" 1599 6
"BRCA" 1599 3
"BRCA" 1599 5
"BRCA" 1599 9
"BRCA" 1599 7
