"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"UCEC" "no_specific" "miss" 2092 2074 11808 -10.8764496767402 -11.0500131062063 -11.028048614705 -6287.36354518745 -4308.00706555902 -6928.66380368594 8.05353483753964e-15 -4389.4129881971 -6928.66380368594 -4308.84062824111 -239.163239394034
"UCEC" "Act" "miss" 352 244 11808 -10.8911379117439 -11.6525836876882 -11.042886524062 -1605.60320877452 -1438.73785161598 -1678.1744401538 1.11559502052853e-76 -1436.77645338149 -1678.1744401538 -1440.75683203781 -250.476330939154
"UCEC" "LoF" "miss" 405 355 11808 -10.9567191993881 -11.5380922306657 -11.1099846750577 -1766.46067639606 -1560.71002258552 -1891.4806980038 1.36946086622928e-43 -1564.18801585946 -1891.4806980038 -1561.58237622931 -234.099061258084
"UCEC1" "no" "miss" 11031 10995 26304 -13.4063305699814 -13.5365455670987 -13.5368321137522 -24349.0703001102 -17528.7620364484 -26955.674455061 0.0635519505427435 -17767.6960525956 -26955.674455061 -17528.7787323953 -294.972837592954
"UCEC1" "no_all" "miss" 10403 10381 26304 -13.4045652379986 -13.5349231624025 -13.5349231624025 -23369.4490091564 -16897.5841158326 -25815.4041177835 0.497392445774776 -17141.9918985149 -25815.4041177835 -16897.5841158326 -288.661426774277
"UCEC1" "no_specific" "miss" 628 614 26304 -13.4454708601779 -13.5634211659119 -13.5791566796289 -2958.4352680937 -2613.12549016087 -3125.09118176599 1.32637456008535e-12 -2607.76191793949 -3125.09118176599 -2613.28654004904 -209.544838106202
"UCEC1" "Act" "miss" 444 220 26304 -13.455746111348 -14.1212914721628 -13.5905517880859 -2314.94544126913 -2231.67960955713 -2357.49816832081 0 -2206.52829356936 -2357.49816832081 -2264.0838971169 -323.374160801109
"UCEC1" "LoF" "miss" 346 231 26304 -13.5128742966548 -13.6359766785095 -13.6505195359785 -1866.7677109881 -1705.81740435491 -1988.27941484601 1.08820696981701e-163 -1716.56280676069 -1988.27941484601 -1709.18802816771 -238.164890145617
"BRCA" "no" "miss" 53627 49814 153504 -13.0331601729808 -13.768297100192 -13.7686904956387 -118933.244179658 -79379.2537958124 -124434.655152135 0.207574202346438 -83226.5731481212 -124434.655152135 -79379.2557182657 -365.588496043421
"BRCA" "no_all" "miss" 51311 47653 153504 -13.0339340675552 -13.768779592186 -13.768779592186 -114974.844078793 -77193.6876530233 -120258.069219453 0.498825898403791 -80847.1322237839 -120258.069219453 -77193.6876530233 -361.587985653618
"BRCA" "no_specific" "miss" 2316 2161 153504 -13.0145013986708 -13.757607485897 -13.7665423576059 -10896.6308149997 -9122.03986140063 -11112.4911750107 2.81784277350265e-05 -9315.95123423654 -11112.4911750107 -9122.12956855313 -256.866052452001
"BRCA" "Act" "miss" 1011 433 153504 -13.0181990753697 -14.0677191274907 -13.7463805872677 -6340.85856716096 -5864.5636137571 -6354.07963789862 2.12665511234984e-310 -5863.23709941875 -6354.07963789862 -5887.22846500913 -917.710529432789
"BRCA" "LoF" "miss" 1009 747 153504 -13.0266168531387 -13.9627162035161 -13.8004946971817 -5906.90162347382 -5387.83839673028 -6062.83740680777 1.16514480926404e-136 -5461.24167950128 -6062.83740680777 -5393.21639179345 -307.808522068192
"CESC" "no" "miss" 26098 25968 26784 -11.8346281749422 -12.2029500594529 -12.1973657737096 -54622.8332150455 -22468.8824082761 -57623.3026954639 0.09236185559034 -23174.2337282073 -57623.3026954639 -22468.9198271581 -304.914229990973
"CESC" "no_all" "miss" 24665 24541 26784 -11.8356928938243 -12.1981405130803 -12.1981405130803 -52204.8213386783 -21720.0247159918 -55069.0045813988 0.498306543755052 -22380.0667458239 -55069.0045813988 -21720.0247159918 -298.820065131298
"CESC" "no_specific" "miss" 1433 1427 26784 -11.813102172191 -12.2857326562973 -12.1817024450069 -5537.11974135993 -3865.22969771227 -5668.88041764544 1.33005596658797e-09 -3907.8300228125 -5668.88041764544 -3865.82568965384 -209.14335279965
"CESC" "Act" "miss" 208 115 26784 -11.8289485776728 -12.041117729774 -12.1931349635149 -1227.34990004153 -941.972350061254 -1245.2399546846 4.87535968614613e-95 -939.462818284975 -1245.2399546846 -942.372928666548 -151.733267905669
"CESC" "LoF" "miss" 193 174 26784 -11.8027129906246 -12.28567945002 -12.1754848562808 -1125.18153165875 -903.47665395305 -1149.17894444961 1.25384318205844e-19 -913.783487376091 -1149.17894444961 -903.476663220733 -118.57275974641
"CH" "no" "miss" 10992 10661 32448 -13.4746157023682 -13.8690941361012 -13.8680247130679 -24178.7859845727 -18156.5425172159 -26248.8260232063 0.12454057309158 -18416.3501489555 -26248.8260232063 -18156.5463306571 -296.528860373187
"CH" "no_all" "miss" 10377 10070 32448 -13.473389817015 -13.866593343908 -13.866593343908 -23212.2606961368 -17491.2998151089 -25153.0823049458 0.497389439687319 -17738.8044569382 -25153.0823049458 -17491.2998151089 -290.700097089503
"CH" "no_specific" "miss" 615 591 32448 -13.5003009364948 -13.9112904297421 -13.898015325083 -2912.51222503899 -2609.58508711357 -3041.59430991474 9.3994647469948e-08 -2621.98504288471 -3041.59430991474 -2609.71148146515 -203.903766392212
"CH" "Act" "miss" 181 84 32448 -13.4933418376292 -14.1575967418566 -13.8870590297477 -1159.64591089195 -1118.45817927163 -1193.41503970373 7.81719358516551e-142 -1112.01827252196 -1193.41503970373 -1120.9864416124 -226.637677058923
"CH" "LoF" "miss" 177 156 32448 -13.6005001313847 -14.0854618609605 -14.004577468302 -1078.1457749238 -1027.24882240126 -1119.15769303001 3.64597390987562e-53 -1020.37962558895 -1119.15769303001 -1027.35525353315 -153.694279786016
"COREAD" "no" "miss" 44120 42311 58272 -12.5522317555911 -12.694944182742 -12.6896150335146 -85074.3326532855 -50518.4095182791 -98071.6809158691 0.0976827470290381 -50687.1124260204 -98071.6809158691 -50518.6213377249 -356.715515214588
"COREAD" "no_all" "miss" 42025 40298 58272 -12.5498569234788 -12.6872071647415 -12.6872071647415 -82278.0532059595 -49093.5567856344 -94676.3942293214 0.498702630679498 -49260.4948577363 -94676.3942293214 -49093.5567856344 -351.363424800129
"COREAD" "no_specific" "miss" 2095 2013 58272 -12.6069407622794 -12.8501461786696 -12.7450851057489 -8928.67217903688 -7547.31698937586 -9527.39723241075 2.70907674560123e-10 -7549.26002108351 -9527.39723241075 -7551.31710462654 -265.085223948214
"COREAD" "Act" "miss" 699 297 58272 -12.5004638386109 -13.4082072777301 -12.636932537195 -3759.90332308011 -3512.39840833213 -3806.01732580131 1.94265073647456e-300 -3502.06268888383 -3806.01732580131 -3577.09624025217 -598.547907551878
"COREAD" "LoF" "miss" 838 572 58272 -12.7867981152838 -12.7838428544755 -12.9273628976692 -4368.5424631001 -3789.30969359623 -4701.36489807312 1.09501218553331e-179 -3788.52611509822 -4701.36489807312 -3791.33721862275 -245.443378520359
"DLBCL" "no" "miss" 4000 3937 8064 -12.8630079197856 -13.4090995391403 -13.3993060281022 -7459.20060140497 -4915.40938359151 -8253.6571922586 0.0707186668844398 -5050.70951741992 -8253.6571922586 -4915.58154421339 -247.997532760964
"DLBCL" "no_all" "miss" 3743 3685 8064 -12.8606328267596 -13.3964590887604 -13.3964590887604 -7119.11822124338 -4695.96741793978 -7867.36669782959 0.495652970681954 -4827.67263579571 -7867.36669782959 -4695.96741793978 -239.353065099659
